Datetime,I,Quantile: 0.45decrease factor: 0.5,Quantile: 0.55decrease factor: 0.5,Quantile: 0.425decrease factor: 0.5,Quantile: 0.575decrease factor: 0.5,Quantile: 0.4decrease factor: 0.5,Quantile: 0.6decrease factor: 0.5,Quantile: 0.375decrease factor: 0.5,Quantile: 0.625decrease factor: 0.5,Quantile: 0.35decrease factor: 0.5,Quantile: 0.65decrease factor: 0.5,Quantile: 0.325decrease factor: 0.5,Quantile: 0.675decrease factor: 0.5,Quantile: 0.3decrease factor: 0.5,Quantile: 0.7decrease factor: 0.5,Quantile: 0.275decrease factor: 0.5,Quantile: 0.725decrease factor: 0.5,Quantile: 0.25decrease factor: 0.5,Quantile: 0.75decrease factor: 0.5,Quantile: 0.225decrease factor: 0.5,Quantile: 0.775decrease factor: 0.5,Quantile: 0.2decrease factor: 0.5,Quantile: 0.8decrease factor: 0.5,Quantile: 0.175decrease factor: 0.5,Quantile: 0.825decrease factor: 0.5,Quantile: 0.15decrease factor: 0.5,Quantile: 0.85decrease factor: 0.5,Quantile: 0.125decrease factor: 0.5,Quantile: 0.875decrease factor: 0.5,Quantile: 0.1decrease factor: 0.5,Quantile: 0.9decrease factor: 0.5,Quantile: 0.075decrease factor: 0.5,Quantile: 0.925decrease factor: 0.5,Quantile: 0.05decrease factor: 0.5,Quantile: 0.95decrease factor: 0.5
2022-05-21 09:15:00,679.8119,571.5842497637583,589.5161358782245,564.3683775456552,597.1409904687606,559.1682100900873,606.7898782717142,553.4162403905403,614.4971891075537,547.3441745771912,620.4561420488517,539.9046342314549,626.2065861189609,528.7063629695356,632.0193462794545,519.9304777286073,637.9508765891836,513.3736226843586,646.2519105725027,501.0817005078032,648.7728196247125,491.96550418238036,654.4187810756619,484.7937557727476,665.4850478304652,472.353826809696,669.9375030304673,462.0260913221823,680.6640901057931,447.62317260572195,692.5285106315062,423.52284312403737,696.3308325539103,405.9468630176306,704.7116180177259
2022-05-21 09:30:00,514.2485,606.2888619769245,624.1579645543268,598.8260054410526,631.0051348684437,593.5156865636638,640.6770864084998,588.075540835892,647.4872508697864,582.2795683334712,653.3339530529761,573.138300990326,658.1617291610843,561.7315274536935,663.3335576612112,553.0333573850485,669.7015997357071,545.8583703727077,677.7729869505442,533.7875398291139,680.0359921459296,524.5987018570198,686.1172795506405,518.0699134105099,696.0629319395571,503.9185124330033,698.2630346048809,495.0006137487372,710.2809118089277,480.6835664912081,721.4228429114289,454.8252630286344,723.0680586191386,434.89432082138785,729.5693516870077
2022-05-21 09:45:00,736.7311,672.8208428057808,693.5140162222779,665.4956017808518,700.7300717830752,662.2070252691514,713.1788788208694,658.3465242857177,721.7004108010049,652.4786371166867,727.2865294771216,642.5040973140774,732.8629517713551,630.0879468024488,736.731099999972,616.6549409532771,739.3175484536151,605.7020029700368,744.3438702985773,591.2185255203162,743.415243226619,577.8303934940974,748.2518702458008,574.0200773051274,758.2436962974086,562.0525953798959,759.1436237819934,552.2644070475939,768.1362191873824,537.3935524507011,776.5453378407291,506.1393497366757,772.2690030754551,481.32383229190896,774.3646821185973
2022-05-22 07:45:00,150.0166,164.5502387967266,173.89705110572646,161.5661150894686,180.3490575462772,156.2200240262441,184.68018432485442,146.89926372678022,195.26353983090937,145.0363154642704,199.53775103540963,145.4248472814787,202.02142220284213,143.0260006224996,212.32181798301386,141.98473805570734,212.3207243948863,134.25125331896382,220.08615157513842,135.53539117667972,227.82343535933117,130.6865573299699,233.17838551541664,127.75676571081746,244.43349513821323,128.28610570559002,257.0772762200968,124.43835042979491,260.83696181888894,115.96717768280624,280.8784429842515,106.51393903522104,310.10819665900476,107.00710670214823,375.6532413737199
2022-05-22 08:00:00,215.642,183.15657933013955,192.9184248027398,179.7334642317848,198.7913162408949,174.13291737026623,203.02153823584985,165.5160462055368,213.54543632605723,163.70296869149186,219.37012462081822,161.79266249700186,220.729337059752,158.18755072895178,230.0786759984951,156.0867168317826,230.9252410156379,149.9040752768455,239.9743030673343,150.23482851745428,247.96312105287012,145.8462153171278,253.40757045594626,142.49263912739795,263.8015567876527,141.6494810271511,274.8109815689107,136.97188382435584,279.3965919801242,128.49713329022237,298.2066226475622,116.86945083008355,322.64180997224594,118.56115307290706,385.8140856137816
2022-05-22 08:15:00,183.7072,215.3626904085934,225.14596776356586,211.10761661964855,230.38172220020087,205.31290891368164,234.63837066463125,197.52607300676547,244.85237761225346,195.4140857447297,251.75429264414248,191.48220067766985,252.26087887543653,186.61330722697153,260.72300920852183,183.83271895972962,262.69731384954997,179.14188800748144,273.1109431153457,178.4250081661295,281.3092933149258,174.6915442834754,286.99198207417885,170.84616625446137,297.06242948042325,167.6523268727088,306.7650801581723,162.11794249335418,312.6638865278934,152.98620885739086,330.0295603106787,139.23502739757393,349.72467116100194,140.8284542006307,408.6720188064286
2022-05-22 08:30:00,174.0134,285.837329364042,295.6111457463828,280.25958272650126,300.35657614441385,274.559634868533,304.96145383006603,267.6405475108518,314.3323544944977,264.3894059453803,321.4547963709998,258.6578629678732,321.5257792637177,251.9819597582743,329.1387838549246,248.84210077909083,332.7501046827712,245.361434303778,344.32368386478663,242.87005884999343,352.2765503557498,239.79904738077875,358.154777045671,235.2304961787314,368.8171674050993,227.18194745369337,377.2481462611608,220.57427138621009,385.6063246020282,209.37953623171916,401.0623684050162,192.99783496673413,415.85866874607467,191.36884113821256,465.11078437130567
2022-05-22 08:45:00,338.0038,249.8503448041919,257.74069150686285,243.18644162047556,261.059560371299,236.7561481596277,265.42577903320216,231.3183365679279,275.14620521045015,229.11066675219345,283.65203026087124,222.2725882436814,283.15508776169486,216.21610668585018,290.055660529646,213.06712993693995,294.033900392297,211.51431883790193,308.10011259895566,210.33736050148522,317.8400276214932,208.63993430452177,325.0461853837402,204.1192551616807,335.2533706842902,198.1279780761229,344.44599075679656,191.1027923934821,352.00348151512753,180.89745866360818,366.2904290110442,165.0435324585886,377.50641813889473,167.1603947878735,433.02838810954
2022-05-22 09:00:00,486.3376,228.46435370597348,235.7143957313129,221.29965595385656,238.1065844513626,214.25941448359345,242.27726585034586,209.70032695995502,252.3158511814419,208.20734900697067,262.22180951813806,199.68346989133727,260.68684269236667,193.61557566796773,266.6697730543816,189.89538442208578,270.87185440638507,189.46257699830656,286.22180168078313,188.71271288238574,296.62334135649087,187.7261083068637,304.4183102207073,183.48445475573746,313.6167943237158,178.69410544549146,321.90499896087505,171.67508194197313,329.03308608176155,162.70855778566525,342.5578476076307,145.601286998223,350.09183138100843,150.9008029738786,409.7269842111504
2022-05-22 09:15:00,727.5859,393.69422324390575,405.4945853651012,385.8630341595022,409.1342329483233,379.1020307665732,414.5311468447979,373.47505013849013,423.1899682199394,369.2317712728597,432.2817250782348,357.4302788111775,430.22042247035995,347.30451056062526,435.0778827675007,342.24892282473587,441.2808734171612,339.5940619749227,454.1044762026093,333.8112403953326,460.51823371905977,330.9537864688545,467.2709932731706,326.5063689357446,476.55468631825573,312.2699298430412,478.5625472400016,307.03863184742755,490.62122399387437,296.00978351231294,503.7357084899946,271.47718621421774,507.2187769331254,268.1341872374811,543.6041276248015
